name,id,bedrooms,beds,bathrooms,person_capacity,public_address,price,reviews_count,star_rating,distance(km),lat,long
College Park :2Bd+2bth + parking,6056440,2,2,2.0,4,"Toronto, ON M4Y 3G5, Canada",195,21,5.0,0.14765339349210818,43.6623347,-79.38588709999999
Beautiful condo with great view!,12151689,1,1,1.0,2,"Toronto, ON M5S 1Z6, Canada",104,15,5.0,0.18986344904012786,43.6618246,-79.3865814
Downtown Core; Charming & Spacious,8069450,1,1,1.0,3,"Toronto, ON M4Y 1C5, Canada",154,14,5.0,0.3501323332317518,43.6644927,-79.38201629999999
Downtown Loft and Private Terrace,10412695,1,1,1.0,2,"Toronto, ON M4Y 2C3, Canada",113,48,5.0,0.40218220361295126,43.663076,-79.3795529
Luxury Upscale Condo in The Heart of Toronto,15851526,1,1,1.0,2,"Toronto, ON M4Y 1A1, Canada",103,1,,0.0076577681938105584,43.6617417,-79.38430360000001
Downtown Apt 1+1 at Yonge&Gerrard!,13208298,1,2,1.0,4,"Toronto, ON M5B 2M2, Canada",139,15,5.0,0.6058087395909101,43.659534,-79.3773535
"Luxury condo, amazing view!",15429112,1,2,1.0,4,"Toronto, ON M5B 1L3, Canada",133,21,5.0,0.1873319230096763,43.661231,-79.38201629999999
"Downtown Toronto Luxury Condo: Bay St, Yorkville",15969018,1,1,1.0,3,"Toronto, ON M5S 0C5, Canada",113,1,,0.5298397331444851,43.6651973,-79.38881
Central Location Downtown + Parking,17611,1,1,1.0,2,"Toronto, ON M5S, Canada",122,57,5.0,1.2767536555892391,43.6626956,-79.40004929999999
Huge!1bdrm Condo on Bay st Downtown,14954222,1,2,1.0,4,"Toronto, ON M5G 2J8, Canada",103,15,5.0,0.3396726635236682,43.6587433,-79.38474339999999
Toronto Prime Location Bright and Beautiful,12449255,1,2,1.0,4,"Toronto, ON M5S 1Z6, Canada",135,32,5.0,0.18986344904012786,43.6618246,-79.3865814
30th floor - Great view - Downtown Toronto,13258407,1,1,1.0,2,"Toronto, ON M4Y 2P8, Canada",124,8,5.0,0.24707823909084062,43.6622688,-79.3812245
Wellesley Subway Stn. at Doorstep! ,5998547,1,1,1.0,4,"Toronto, ON M4Y 3B2, Canada",129,82,5.0,0.384761573768894,43.665234,-79.3839957
Bachelor in Downtown Toronto for 4,3530015,1,2,1.0,4,"Toronto, ON M5B, Canada",82,57,4.5,0.6659690217456553,43.6571618,-79.3789371
Ultra Modern Condo Yonge/Wellesley,13742980,1,1,1.0,2,"Toronto, ON M4Y 1W5, Canada",113,16,5.0,0.4180374433988026,43.6654151,-79.38553519999999
Downtown new high-rise apartment,11676518,2,3,2.0,5,"Toronto, ON M4Y 1Z3, Canada",103,51,4.0,0.43038185116007716,43.6655963,-79.3850953
Nice cozy apartment in downtown Toronto,13665026,1,1,1.0,3,"Toronto, ON M5B 2M2, Canada",67,9,4.5,0.6058087395909101,43.659534,-79.3773535
"Clean, comfortable downtown condo",657898,1,1,1.0,2,"Toronto, ON M4Y 1L5, Canada",92,56,4.5,0.6165206387485257,43.667293,-79.3834238
1 Bedroom + Den Penthouse in downtown Toronto,15413644,1,2,1.0,4,"Toronto, ON M5S 2R9, Canada",142,8,5.0,0.5060147828158078,43.66503609999999,-79.3886141
Upscale Condo on Bay St. (Downtown),9009547,2,2,1.0,5,"Toronto, ON M4Y 1A5, Canada",175,65,5.0,0.11644048328592037,43.6618322,-79.38566709999999
Spacious & perfect downtown location!,5814187,1,2,1.0,2,"Toronto, ON M4Y 1E2, Canada",82,19,4.5,0.5306773180430489,43.6651515,-79.3795529
Historic Downtown Suite,15376494,2,2,1.0,4,"Toronto, ON M4Y 1C5, Canada",150,5,5.0,0.3501323332317518,43.6644927,-79.38201629999999
Superb location spectacular views,8276243,1,1,1.0,3,"Toronto, ON M5B, Canada",115,11,5.0,0.6659690217456553,43.6571618,-79.3789371
Upscale Two bedroom apartment with one bath,15998219,2,2,1.0,4,"Toronto, ON M4Y 1A1, Canada",133,1,,0.0076577681938105584,43.6617417,-79.38430360000001
"Luxury Large 1 Bd, Gym/Pool/Bay St",5372841,1,2,1.0,3,"Toronto, ON M5G 1Z4, Canada",139,14,4.5,0.35883137311808294,43.65861160000001,-79.38333589999999
Fantastic Urban Oasis INTRO SALE,9857301,1,2,1.0,4,"Toronto, ON M4Y 1L8, Canada",117,14,4.5,0.5673751170989791,43.6668482,-79.3834238
Sun drenched  1+ @ Yonge & Bloor,13912861,1,1,1.0,4,"Toronto, ON M4Y 1S2, Canada",154,15,5.0,0.7837288574431501,43.6688248,-79.3839517
1 BR newly renovated apartment with balcony,14912527,1,2,1.0,2,"Toronto, ON M4Y 1X6, Canada",124,6,5.0,0.5204209607511195,43.66370190000001,-79.37832120000002
Bright & Modern 2 BR Downtown TO,4227336,2,2,2.0,4,"Toronto, ON M5S 1Z6, Canada",175,18,5.0,0.18986344904012786,43.6618246,-79.3865814
"Downtown TO Condo, Bright and Central!",296343,1,2,1.0,4,"Toronto, ON M4Y 3C5, Canada",103,10,5.0,0.5371396193148533,43.6635619,-79.37801329999999
Yorkville Condo,10833139,1,2,1.0,6,"Toronto, ON M5S 0A5, Canada",137,97,4.5,0.676782676279488,43.6669799,-79.3885921
Luxurious Condo in Downtown Toronto,16173603,2,3,2.0,3,"Toronto, ON M4Y 3B2, Canada",150,1,,0.384761573768894,43.665234,-79.3839957
"Artsy 2 Bedroom Condo - Pool, Gym, Sauna!",9524519,2,2,1.0,4,"Toronto, ON M5G 2J8, Canada",191,17,4.5,0.3396726635236682,43.6587433,-79.38474339999999
Amazing 1Br Condo at Eaton Centre - Stunning View!,15958129,1,1,2.0,2,"Toronto, ON M5B 2R6, Canada",164,1,,0.8573031398701686,43.65490459999999,-79.37937699999999
Downtown Studio Steps to Subway,8181439,1,1,1.0,2,"Toronto, ON M4Y 1H1, Canada",71,24,4.5,0.40027362843824005,43.6651187,-79.3823682
Modern Spacious Corner Suite in the Heart of TO,13652010,1,1,1.0,2,"Toronto, ON M4Y 1A5, Canada",159,5,5.0,0.11644048328592037,43.6618322,-79.38566709999999
Luxury On Bay St (Yonge & College),13694811,1,2,1.0,3,"Toronto, ON M5S 1Z6, Canada",124,36,5.0,0.18986344904012786,43.6618246,-79.3865814
39th floor Modern Condo in Downtown Toronto,15679152,1,1,1.0,2,"Toronto, ON M4Y 0B6, Canada",179,0,,0.4438420425092336,43.6656556,-79.38552949999999
*Spacious 1 BR Downtown near subway*,8771696,1,3,1.0,6,"Toronto, ON M4Y 1H1, Canada",82,67,4.5,0.40027362843824005,43.6651187,-79.3823682
Stunning Views + Perfect Location -Large 1 Bedroom,14624305,1,1,1.0,3,"Toronto, ON M4Y 1K4, Canada",102,14,4.5,0.4379638171685987,43.6657117,-79.3839517
Luxury Condo Steps from Eaton Centre,16023308,1,2,1.0,4,"Toronto, ON M5G 2K5, Canada",133,1,,0.42364304656382495,43.6580185,-79.38333589999999
Loft Style Downtown House 4 beds/2 bath/2 parking,5030730,3,4,2.0,8,"Toronto, ON M5B 1H2, Canada",205,122,5.0,0.3171987811202643,43.6603743,-79.3807846
1 Bedroom Heritage Home Downtown,9747934,1,1,2.5,2,"Toronto, ON M4Y 1K2, Canada",139,12,5.0,0.5459458616184886,43.6665517,-79.3826321
"Downtown Toronto Condo: U.T, Hospitals, Yorkville",14570191,2,2,1.0,4,"Toronto, ON M5S 2R9, Canada",164,8,5.0,0.5060147828158078,43.66503609999999,-79.3886141
Spacious 1 bedroom apartment in DT,15720764,1,1,1.0,2,"Toronto, ON M4Y 1B2, Canada",82,2,,0.24632546220826682,43.6628948,-79.3815764
Deluxe One Bedroom Apartment,9278227,1,1,1.0,4,"Toronto, ON M5B2M2, Canada",133,1,,0.6058087395909101,43.659534,-79.3773535
The BEST Location in the City,713970,1,1,1.0,4,"Toronto, ON M4Y 2P8, Canada",77,7,4.0,0.24707823909084062,43.6622688,-79.3812245
Sweet Location! Lower Winter Prices,11098087,1,1,1.0,3,"Toronto, ON M4Y 1M2, Canada",54,54,4.5,0.7010916772201198,43.6674576,-79.3804327
Downtown Yonge One Bedroom,16193437,1,1,1.0,2,"Toronto, ON M4Y 3B3, Canada",67,0,,0.03730271610592263,43.6620547,-79.3844795
•Entire Downtown Studio Apartment•,16321844,1,1,1.0,2,"Toronto, ON M4Y, Canada",87,0,,0.46184793723996004,43.6658599,-79.3831599
Bright place with a fabulous view,11641012,1,2,1.0,4,"Toronto, ON M5S 0A5, Canada",122,79,5.0,0.676782676279488,43.6669799,-79.3885921
BEAUTIFUL APT(YONGE +BLOOR)+PARKING,3344016,1,1,1.0,2,"Toronto, ON M4Y 1N9, Canada",113,66,5.0,0.8334777030748952,43.6685942,-79.37990479999999
Convenient at Yonge and Wellesley,11872244,2,2,1.0,6,"Toronto, ON M4Y 1K4, Canada",165,62,4.5,0.4379638171685987,43.6657117,-79.3839517
Private Central Downtown flat,9352121,1,1,1.0,2,"Toronto, ON M4Y 1H5, Canada",88,15,4.5,0.6831615338999394,43.6664857,-79.37876109999999
2 Bedroom Highrise in the heart of Toronto,13280326,2,3,2.0,5,"Toronto, ON M5B 0A9, Canada",206,41,5.0,0.6659690217456553,43.6571618,-79.3789371
"2 Bdr on 25th floor, 4 person, beside U of Toronto",13473906,2,2,1.0,4,"Toronto, ON M5S 0A5, Canada",194,27,5.0,0.676782676279488,43.6669799,-79.3885921
"Exec Furnished 2 bed, 2 bath+den",13105559,2,2,2.0,4,"Toronto, ON M5G 1P7, Canada",164,1,,0.7603403680320258,43.6549375,-79.3844795
Super Wicked Place right Downtown.,16086483,1,1,1.0,2,"Toronto, ON M4Y 1L5, Canada",88,2,,0.6165206387485257,43.667293,-79.3834238
Central Perch Toronto,12980244,1,2,1.0,4,"Toronto, ON M4Y 2P8, Canada",103,13,4.5,0.24707823909084062,43.6622688,-79.3812245
Vibrant downtown place,2746751,1,1,1.0,4,"Toronto, ON M4Y 3B2, Canada",102,72,5.0,0.384761573768894,43.665234,-79.3839957
Unique one bedroom downtown core,13307634,1,1,1.0,2,"Toronto, ON M5G 2J9, Canada",92,19,4.0,0.2413573635857774,43.6596659,-79.3835118
2 Bed 2 Bath Bay & College,13603297,2,2,2.0,5,"Toronto, ON M5V 3Z6, Canada",154,22,4.5,2.5416570655461412,43.6404434,-79.3956073
Central and charming in downtown,6654427,1,1,1.0,2,"Toronto, ON M4Y 2C3, Canada",113,104,5.0,0.40218220361295126,43.663076,-79.3795529
(NEW) One Bedroom Condo at Bloor & Yonge,15178287,1,1,1.0,1,"Toronto, ON M4Y 1T1, Canada",103,2,,0.8174635257432544,43.6691213,-79.38474339999999
Downtown 1 BR apartment in house,6702085,1,1,1.0,2,"Toronto, ON M5B 1H5, Canada",88,9,5.0,0.5307911260328367,43.6606872,-79.3777934
Beautiful Downtown Apartment,3932792,3,3,1.0,6,"Toronto, ON M4Y 1X6, Canada",124,47,5.0,0.5204209607511195,43.66370190000001,-79.37832120000002
Downtown Condo at Yonge & Carlton,761537,1,1,1.0,2,"Toronto, ON M5B 1L3, Canada",175,45,5.0,0.1873319230096763,43.661231,-79.38201629999999
1 bedroom + den Gay VillageToronto,4135036,2,2,1.0,4,"Toronto, ON M4Y 2E5, Canada",103,25,4.5,0.5983365605847055,43.6668318,-79.38166439999999
Yorkville Condo: 1+1 Bed & 2 Bath,4418041,2,2,1.5,4,"Toronto, ON M4Y 3C3, Canada",133,61,5.0,0.859897733700401,43.66950019999999,-79.3848314
2+den bedrooms downtown Toronto University,2516271,2,4,2.0,7,"Toronto, ON M5S 1Z6, Canada",170,74,4.5,0.18986344904012786,43.6618246,-79.3865814
YOUNGE/GERRARD LUXURY CONDO,14416912,1,1,1.0,2,"Toronto, ON M5B 1S9, Canada",124,1,,0.3248515393604037,43.6593694,-79.3819283
